model,lr,hidden_size,batch_size,pooling_style,num_layers,acc,time
fast_text,0.001,64,64,avg,1,0.8899082568807339,26.343998156095807
fast_text,0.001,64,64,avg,2,0.8836530442035029,17.136649081581517
fast_text,0.001,64,64,avg,3,0.8878231859883235,25.068458757902448
fast_text,0.001,64,64,avg,4,0.8882402001668057,15.798995369359067
fast_text,0.001,64,64,max,1,0.8678065054211843,36.85198332134046
fast_text,0.001,64,64,max,2,0.8561301084236864,24.114784441496198
fast_text,0.001,64,64,max,3,0.8648874061718098,28.95405417994449
fast_text,0.001,64,64,max,4,0.8669724770642202,19.78748723080284
fast_text,0.001,64,128,avg,1,0.8790658882402002,55.31436518618935
fast_text,0.001,64,128,avg,2,0.8811509591326105,26.3214111328125
fast_text,0.001,64,128,avg,3,0.8798999165971643,26.3189014635588
fast_text,0.001,64,128,avg,4,0.8807339449541285,31.677045320209704
fast_text,0.001,64,128,max,1,0.8440366972477065,21.177843997353
fast_text,0.001,64,128,max,2,0.8419516263552961,44.17017886513158
fast_text,0.001,64,128,max,3,0.8482068390325271,13.179528085809006
fast_text,0.001,64,128,max,4,0.8619683069224353,39.6753612317537
fast_text,0.001,128,64,avg,1,0.8869891576313594,21.377990120335628
fast_text,0.001,128,64,avg,2,0.8899082568807339,32.92874286049291
fast_text,0.001,128,64,avg,3,0.8861551292743953,21.11572968332391
fast_text,0.001,128,64,avg,4,0.8911592994161801,21.073065306011
fast_text,0.001,128,64,max,1,0.8849040867389492,31.68018240677683
fast_text,0.001,128,64,max,2,0.8836530442035029,21.07933947914525
fast_text,0.001,128,64,max,3,0.8757297748123436,40.87561055233604
fast_text,0.001,128,64,max,4,0.8757297748123436,18.432893251117907
fast_text,0.001,128,128,avg,1,0.8849040867389492,34.433916995399876
fast_text,0.001,128,128,avg,2,0.8857381150959133,40.01165691174959
fast_text,0.001,128,128,avg,3,0.8886572143452878,26.96765096564042
fast_text,0.001,128,128,avg,4,0.8874061718098415,21.379872372275905
fast_text,0.001,128,128,max,1,0.8611342785654712,26.306353117290296
fast_text,0.001,128,128,max,2,0.8732276897414513,15.809661463687295
fast_text,0.001,128,128,max,3,0.8744787322768974,31.900405883789062
fast_text,0.001,128,128,max,4,0.8648874061718098,26.347762659976357
fast_text,0.0001,64,64,avg,1,0.7143452877397831,29.083302146510075
fast_text,0.0001,64,64,avg,2,0.7301918265221018,7.89667430676912
fast_text,0.0001,64,64,avg,3,0.7460383653044204,28.93585907785516
fast_text,0.0001,64,64,avg,4,0.7247706422018348,22.758935627184417
fast_text,0.0001,64,64,max,1,0.7147623019182652,15.792721196224814
fast_text,0.0001,64,64,max,2,0.7297748123436196,14.495222192061576
fast_text,0.0001,64,64,max,3,0.7085070892410342,36.9203718085038
fast_text,0.0001,64,64,max,4,0.7477064220183486,32.67212917930201
fast_text,0.0001,64,128,avg,1,0.6805671392827356,39.492155376233555
fast_text,0.0001,64,128,avg,2,0.7343619683069225,10.514259338378906
fast_text,0.0001,64,128,avg,3,0.6868223519599667,37.36270101446854
fast_text,0.0001,64,128,avg,4,0.6905754795663053,23.769077501798932
fast_text,0.0001,64,128,max,1,0.7268557130942452,15.79083894428454
fast_text,0.0001,64,128,max,2,0.7197664720600501,39.50470372250206
fast_text,0.0001,64,128,max,3,0.6718098415346122,15.79585828279194
fast_text,0.0001,64,128,max,4,0.6684737281067556,33.214217738101354
fast_text,0.0001,128,64,avg,1,0.8144286905754796,22.44334471853156
fast_text,0.0001,128,64,avg,2,0.8098415346121768,26.333959479081003
fast_text,0.0001,128,64,avg,3,0.8077564637197665,12.4937609622353
fast_text,0.0001,128,64,avg,4,0.8027522935779816,29.33803357576069
fast_text,0.0001,128,64,max,1,0.7589658048373644,25.038970144171465
fast_text,0.0001,128,64,max,2,0.7902418682235196,10.536218944348787
fast_text,0.0001,128,64,max,3,0.7831526271893244,19.999554282740544
fast_text,0.0001,128,64,max,4,0.7889908256880734,25.025794380589534
fast_text,0.0001,128,128,avg,1,0.7572977481234362,28.999228226511104
fast_text,0.0001,128,128,avg,2,0.7456213511259383,28.977896037854645
fast_text,0.0001,128,128,avg,3,0.768557130942452,21.05737987317537
fast_text,0.0001,128,128,avg,4,0.744370308590492,37.62998078998766
fast_text,0.0001,128,128,max,1,0.6705587989991659,31.579168219315378
fast_text,0.0001,128,128,max,2,0.7506255212677231,47.6912448280736
fast_text,0.0001,128,128,max,3,0.7631359466221852,31.62308743125514
fast_text,0.0001,128,128,max,4,0.7798165137614679,42.11099524247019
lstm,0.001,64,64,avg,1,0.8798999165971643,43.70024329737613
lstm,0.001,64,64,avg,2,0.859466221851543,72.4943060623972
lstm,0.001,64,64,avg,3,0.8703085904920768,84.7013373123972
lstm,0.001,64,64,avg,4,0.8657214345287739,55.956213097823294
lstm,0.001,64,64,max,1,0.8807339449541285,51.69667695697985
lstm,0.001,64,64,max,2,0.8740617180984154,51.456376125938014
lstm,0.001,64,64,max,3,0.8661384487072561,49.88093125192743
lstm,0.001,64,64,max,4,0.8690575479566305,46.70870931524979
lstm,0.001,64,128,avg,1,0.8623853211009175,55.82884738319799
lstm,0.001,64,128,avg,2,0.8790658882402002,55.281739485891244
lstm,0.001,64,128,avg,3,0.8678065054211843,71.34111304032176
lstm,0.001,64,128,avg,4,0.8653044203502919,52.674193131296256
lstm,0.001,64,128,max,1,0.8765638031693077,52.70807366622122
lstm,0.001,64,128,max,2,0.8769808173477899,68.43115154065583
lstm,0.001,64,128,max,3,0.871976647206005,28.964092856959294
lstm,0.001,64,128,max,4,0.8511259382819016,95.39754767166941
lstm,0.001,128,64,avg,1,0.8819849874895747,56.79067812467876
lstm,0.001,128,64,avg,2,0.8786488740617181,66.39894686247173
lstm,0.001,128,64,avg,3,0.878231859883236,58.17601555272152
lstm,0.001,128,64,avg,4,0.8828190158465388,94.45704911884509
lstm,0.001,128,64,max,1,0.8840700583819849,65.78156822606137
lstm,0.001,128,64,max,2,0.8836530442035029,63.3038972553454
lstm,0.001,128,64,max,3,0.8698915763135947,81.70604705810547
lstm,0.001,128,64,max,4,0.8686405337781484,46.088193592272304
lstm,0.001,128,128,avg,1,0.8857381150959133,82.46145750346936
lstm,0.001,128,128,avg,2,0.872393661384487,55.116101315147
lstm,0.001,128,128,avg,3,0.8836530442035029,58.02355314555921
lstm,0.001,128,128,avg,4,0.8786488740617181,81.09619742945621
lstm,0.001,128,128,max,1,0.8828190158465388,54.23771707635177
lstm,0.001,128,128,max,2,0.8815679733110926,73.48437058298211
lstm,0.001,128,128,max,3,0.8611342785654712,65.93654030247738
lstm,0.001,128,128,max,4,0.8644703919933278,81.71608573512027
lstm,0.0001,64,64,avg,1,0.8073394495412844,90.18747430098684
lstm,0.0001,64,64,avg,2,0.8181818181818182,63.27629089355469
lstm,0.0001,64,64,avg,3,0.7643869891576314,60.39268092105263
lstm,0.0001,64,64,avg,4,0.664720600500417,69.58183489347759
lstm,0.0001,64,64,max,1,0.8348623853211009,51.38986989071495
lstm,0.0001,64,64,max,2,0.8244370308590492,73.17066192626953
lstm,0.0001,64,64,max,3,0.7768974145120934,82.09630062705592
lstm,0.0001,64,64,max,4,0.6655546288573811,84.75090328015779
lstm,0.0001,64,128,avg,1,0.6997497914929107,63.234881350868626
lstm,0.0001,64,128,avg,2,0.6659716430358632,52.18857213070518
lstm,0.0001,64,128,avg,3,0.664720600500417,98.44554098028885
lstm,0.0001,64,128,avg,4,0.664720600500417,71.1579071848016
lstm,0.0001,64,128,max,1,0.7819015846538783,50.07794028834293
lstm,0.0001,64,128,max,2,0.76814011676397,90.82743996068051
lstm,0.0001,64,128,max,3,0.664720600500417,29.452223526804072
lstm,0.0001,64,128,max,4,0.664720600500417,65.82235035143401
lstm,0.0001,128,64,avg,1,0.8457047539616347,56.867223036916634
lstm,0.0001,128,64,avg,2,0.8502919099249374,59.19619610435084
lstm,0.0001,128,64,avg,3,0.8407005838198499,74.37844025461297
lstm,0.0001,128,64,avg,4,0.8336113427856547,80.054057271857
lstm,0.0001,128,64,max,1,0.8678065054211843,64.061817369963
lstm,0.0001,128,64,max,2,0.8544620517097581,62.08921733655428
lstm,0.0001,128,64,max,3,0.8311092577147623,50.52779850206877
lstm,0.0001,128,64,max,4,0.8127606338615513,79.21143581992702
lstm,0.0001,128,128,avg,1,0.8340283569641368,72.49054155851665
lstm,0.0001,128,128,avg,2,0.8340283569641368,72.02248824270148
lstm,0.0001,128,128,avg,3,0.8190158465387823,58.071236861379525
lstm,0.0001,128,128,avg,4,0.664720600500417,74.36275482177734
lstm,0.0001,128,128,max,1,0.8381984987489575,60.628589830900495
lstm,0.0001,128,128,max,2,0.8273561301084237,67.04330444335938
lstm,0.0001,128,128,max,3,0.7919099249374478,47.41643604479338
lstm,0.0001,128,128,max,4,0.664720600500417,42.80366395649157
gru,0.001,64,64,avg,1,0.8753127606338615,42.19193207590204
gru,0.001,64,64,avg,2,0.8807339449541285,44.748657628109584
gru,0.001,64,64,avg,3,0.8786488740617181,72.56520421881424
gru,0.001,64,64,avg,4,0.8703085904920768,48.758481678209804
gru,0.001,64,64,max,1,0.8757297748123436,65.87944532695569
gru,0.001,64,64,max,2,0.8761467889908257,71.81857761583831
gru,0.001,64,64,max,3,0.8678065054211843,74.29499375192742
gru,0.001,64,64,max,4,0.8686405337781484,68.6520024349815
gru,0.001,64,128,avg,1,0.8711426188490409,104.81382671155427
gru,0.001,64,128,avg,2,0.8757297748123436,76.45456414473684
gru,0.001,64,128,avg,3,0.8698915763135947,73.73910201223273
gru,0.001,64,128,avg,4,0.8690575479566305,94.86298812063117
gru,0.001,64,128,max,1,0.8894912427022519,99.14950320595189
gru,0.001,64,128,max,2,0.8694745621351125,85.76418224133943
gru,0.001,64,128,max,3,0.8619683069224353,76.37174505936473
gru,0.001,64,128,max,4,0.853628023352794,84.17932610762746
gru,0.001,128,64,avg,1,0.8703085904920768,65.95348056993987
gru,0.001,128,64,avg,2,0.8761467889908257,54.537622552169
gru,0.001,128,64,avg,3,0.8757297748123436,80.71221803364001
gru,0.001,128,64,avg,4,0.8786488740617181,102.2514544035259
gru,0.001,128,64,max,1,0.8786488740617181,75.53790744982268
gru,0.001,128,64,max,2,0.877814845704754,74.32510978297184
gru,0.001,128,64,max,3,0.8661384487072561,69.38043393586811
gru,0.001,128,64,max,4,0.8615512927439533,73.69957472148694
gru,0.001,128,128,avg,1,0.8828190158465388,58.657244632118626
gru,0.001,128,128,avg,2,0.8803169307756463,81.6520891691509
gru,0.001,128,128,avg,3,0.8728106755629691,71.34362270957546
gru,0.001,128,128,avg,4,0.8853211009174312,103.45484081067536
gru,0.001,128,128,max,1,0.8869891576313594,85.42286722283615
gru,0.001,128,128,max,2,0.8844870725604671,85.56842803955078
gru,0.001,128,128,max,3,0.8744787322768974,94.973413567794
gru,0.001,128,128,max,4,0.8661384487072561,79.3482127942537
gru,0.0001,64,64,avg,1,0.8261050875729775,80.63002636558132
gru,0.0001,64,64,avg,2,0.8457047539616347,76.06682024504009
gru,0.0001,64,64,avg,3,0.835696413678065,66.79798427381013
gru,0.0001,64,64,avg,4,0.8261050875729775,76.5110317029451
gru,0.0001,64,64,max,1,0.8390325271059216,77.75770990472091
gru,0.0001,64,64,max,2,0.8202668890742285,75.58998308683697
gru,0.0001,64,64,max,3,0.7960800667222686,81.88297874049137
gru,0.0001,64,64,max,4,0.76814011676397,72.48991414120323
gru,0.0001,64,128,avg,1,0.7552126772310258,79.09850070351048
gru,0.0001,64,128,avg,2,0.8052543786488741,76.45079964085629
gru,0.0001,64,128,avg,3,0.8090075062552127,85.0828070389597
gru,0.0001,64,128,avg,4,0.7793994995829858,97.55209872597142
gru,0.0001,64,128,max,1,0.7981651376146789,71.49420286479749
gru,0.0001,64,128,max,2,0.8069224353628023,86.9801169947574
gru,0.0001,64,128,max,3,0.6676396997497915,65.9892433568051
gru,0.0001,64,128,max,4,0.664720600500417,96.26087389494243
gru,0.0001,128,64,avg,1,0.8507089241034195,59.64981882195724
gru,0.0001,128,64,avg,2,0.8682235195996664,66.41400487799393
gru,0.0001,128,64,avg,3,0.8552960800667223,113.9621985586066
gru,0.0001,128,64,avg,4,0.8544620517097581,76.45519156205027
gru,0.0001,128,64,max,1,0.8761467889908257,73.49378184268349
gru,0.0001,128,64,max,2,0.8657214345287739,71.15037817704051
gru,0.0001,128,64,max,3,0.8498748957464554,71.20057156211452
gru,0.0001,128,64,max,4,0.8402835696413679,107.85240876047234
gru,0.0001,128,128,avg,1,0.8319432860717264,82.16908103541324
gru,0.0001,128,128,avg,2,0.8465387823185988,81.70730189273232
gru,0.0001,128,128,avg,3,0.8511259382819016,96.40643471165707
gru,0.0001,128,128,avg,4,0.8398665554628857,105.59684351870888
gru,0.0001,128,128,max,1,0.8569641367806505,73.7905502319336
gru,0.0001,128,128,max,2,0.8603002502085071,60.933514645225124
gru,0.0001,128,128,max,3,0.8427856547122602,79.15747793097245
gru,0.0001,128,128,max,4,0.7969140950792327,89.52868612189042
rnn,0.001,64,64,avg,1,0.8769808173477899,83.12651985570004
rnn,0.001,64,64,avg,2,0.8715596330275229,74.98578021400853
rnn,0.001,64,64,avg,3,0.8673894912427023,84.35876745926707
rnn,0.001,64,64,avg,4,0.8673894912427023,66.12664774844521
rnn,0.001,64,64,max,1,0.8849040867389492,78.97238982351203
rnn,0.001,64,64,max,2,0.8744787322768974,86.86028028789319
rnn,0.001,64,64,max,3,0.871976647206005,75.69350694355212
rnn,0.001,64,64,max,4,0.8740617180984154,73.76482612208316
rnn,0.001,64,128,avg,1,0.8807339449541285,63.43941939504523
rnn,0.001,64,128,avg,2,0.8698915763135947,70.71118605764289
rnn,0.001,64,128,avg,3,0.8715596330275229,81.77004362407483
rnn,0.001,64,128,avg,4,0.8703085904920768,84.33869010523746
rnn,0.001,64,128,max,1,0.8828190158465388,60.6587058619449
rnn,0.001,64,128,max,2,0.8803169307756463,63.420596875642474
rnn,0.001,64,128,max,3,0.872393661384487,86.86341737446033
rnn,0.001,64,128,max,4,0.8703085904920768,74.6061927393863
rnn,0.001,128,64,avg,1,0.8869891576313594,54.063922480532995
rnn,0.001,128,64,avg,2,0.878231859883236,81.9162318581029
rnn,0.001,128,64,avg,3,0.8236030025020851,68.56290917647512
rnn,0.001,128,64,avg,4,0.8640533778148457,72.4121143943385
rnn,0.001,128,64,max,1,0.8815679733110926,61.89597280401932
rnn,0.001,128,64,max,2,0.8769808173477899,52.886260183233965
rnn,0.001,128,64,max,3,0.8661384487072561,57.990300027947676
rnn,0.001,128,64,max,4,0.8640533778148457,84.9058753565738
rnn,0.001,128,128,avg,1,0.8757297748123436,52.82602812114515
rnn,0.001,128,128,avg,2,0.8690575479566305,73.8281952707391
rnn,0.001,128,128,avg,3,0.8707256046705588,67.12486869410465
rnn,0.001,128,128,avg,4,0.859883236030025,73.72529883133738
rnn,0.001,128,128,max,1,0.8861551292743953,50.109311154014186
rnn,0.001,128,128,max,2,0.8815679733110926,86.9700783177426
rnn,0.001,128,128,max,3,0.8765638031693077,71.24072627017372
rnn,0.001,128,128,max,4,0.8744787322768974,58.49035162674753
rnn,0.0001,64,64,avg,1,0.8331943286071727,61.884679292377676
rnn,0.0001,64,64,avg,2,0.8348623853211009,74.80194694117496
rnn,0.0001,64,64,avg,3,0.8365304420350292,63.165865446391855
rnn,0.0001,64,64,avg,4,0.8361134278565471,62.15007681595652
rnn,0.0001,64,64,max,1,0.8452877397831526,63.3038972553454
rnn,0.0001,64,64,max,2,0.841117597998332,67.163768567537
rnn,0.0001,64,64,max,3,0.8369474562135113,81.72361474288137
rnn,0.0001,64,64,max,4,0.8323603002502085,62.473196732370475
rnn,0.0001,64,128,avg,1,0.7985821517931609,57.96206624884354
rnn,0.0001,64,128,avg,2,0.8060884070058382,81.47892199064556
rnn,0.0001,64,128,avg,3,0.8144286905754796,74.33389362535979
rnn,0.0001,64,128,avg,4,0.8160967472894078,52.99417596114309
rnn,0.0001,64,128,max,1,0.8115095913261051,58.14401726973684
rnn,0.0001,64,128,max,2,0.8090075062552127,68.53404798005757
rnn,0.0001,64,128,max,3,0.8144286905754796,71.44024497584293
rnn,0.0001,64,128,max,4,0.8148457047539617,79.03073963366057
rnn,0.0001,128,64,avg,1,0.854045037531276,35.769061038368626
rnn,0.0001,128,64,avg,2,0.8573811509591326,54.137330306203744
rnn,0.0001,128,64,avg,3,0.8432026688907422,50.10680148476049
rnn,0.0001,128,64,avg,4,0.8511259382819016,59.28779903211092
rnn,0.0001,128,64,max,1,0.8703085904920768,51.35598935578999
rnn,0.0001,128,64,max,2,0.8703085904920768,72.4516416850843
rnn,0.0001,128,64,max,3,0.8603002502085071,63.826535877428554
rnn,0.0001,128,64,max,4,0.8565471226021685,52.704309162340664
rnn,0.0001,128,128,avg,1,0.8482068390325271,61.91103081954153
rnn,0.0001,128,128,avg,2,0.8369474562135113,69.25808755975021
rnn,0.0001,128,128,avg,3,0.8477898248540451,63.285074735942636
rnn,0.0001,128,128,avg,4,0.8427856547122602,73.15058457223992
rnn,0.0001,128,128,max,1,0.8569641367806505,73.89846600984272
rnn,0.0001,128,128,max,2,0.8548790658882403,63.21229432758532
rnn,0.0001,128,128,max,3,0.8632193494578816,89.49857009084602
rnn,0.0001,128,128,max,4,0.8482068390325271,63.41683237176193
cnn,0.001,64,64,avg,1,0.8819849874895747,45.60508226093493
cnn,0.001,64,64,avg,2,0.8765638031693077,42.16181604485763
cnn,0.001,64,64,avg,3,0.8748957464553795,52.98288244950144
cnn,0.001,64,64,avg,4,0.8840700583819849,46.11329028480932
cnn,0.001,64,64,max,1,0.8894912427022519,40.3385413320441
cnn,0.001,64,64,max,2,0.8911592994161801,69.83907599198191
cnn,0.001,64,64,max,3,0.890742285237698,26.429326910721628
cnn,0.001,64,64,max,4,0.8894912427022519,43.45680537976717
cnn,0.001,64,128,avg,1,0.8803169307756463,51.5009227551912
cnn,0.001,64,128,avg,2,0.8794829024186822,96.42400239643298
