model_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,training_time,accuracy,acc_round_1,acc_round_2,acc_round_3,acc_round_4,acc_round_5,acc_round_6,acc_round_7,acc_round_8,acc_round_9,acc_round_10,acc_round_11,acc_round_12,acc_round_13,acc_round_14,acc_round_15
fast_text,20,128,3,2,15,32,max,adam,0.001,4.80903172492981,87.72%,0.8275862068965517,0.8318965517241379,0.8426724137931034,0.8405172413793104,0.8491379310344828,0.853448275862069,0.8599137931034483,0.8642241379310345,0.8642241379310345,0.8663793103448276,0.8663793103448276,0.8706896551724138,0.8706896551724138,0.8771551724137931,0.8771551724137931
fast_text,20,128,3,2,15,32,average,adam,0.001,4.609760999679565,88.15%,0.8556034482758621,0.8599137931034483,0.8620689655172413,0.8685344827586207,0.8728448275862069,0.8771551724137931,0.8793103448275862,0.8814655172413793,0.8836206896551724,0.8814655172413793,0.8793103448275862,0.8793103448275862,0.8814655172413793,0.8857758620689655,0.8814655172413793
lstm,20,128,3,2,15,32,max,adam,0.001,4.644599676132202,86.42%,0.8383620689655172,0.8405172413793104,0.8426724137931034,0.8405172413793104,0.8405172413793104,0.8448275862068966,0.8426724137931034,0.8491379310344828,0.853448275862069,0.8620689655172413,0.8642241379310345,0.8642241379310345,0.8642241379310345,0.8642241379310345,0.8642241379310345
lstm,20,128,3,2,15,32,average,adam,0.001,4.525594711303711,89.01%,0.8577586206896551,0.8663793103448276,0.875,0.8771551724137931,0.8836206896551724,0.8836206896551724,0.8857758620689655,0.8879310344827587,0.8879310344827587,0.8900862068965517,0.8922413793103449,0.8900862068965517,0.8900862068965517,0.8922413793103449,0.8900862068965517
gru,20,128,3,2,15,32,max,adam,0.001,4.691563844680786,85.56%,0.8189655172413793,0.8189655172413793,0.8211206896551724,0.8254310344827587,0.8254310344827587,0.8318965517241379,0.8318965517241379,0.8318965517241379,0.8383620689655172,0.8426724137931034,0.8426724137931034,0.8448275862068966,0.8491379310344828,0.8491379310344828,0.8556034482758621
gru,20,128,3,2,15,32,average,adam,0.001,4.451416969299316,88.79%,0.8512931034482759,0.8577586206896551,0.8599137931034483,0.8599137931034483,0.8620689655172413,0.8620689655172413,0.8663793103448276,0.8706896551724138,0.8706896551724138,0.8706896551724138,0.8706896551724138,0.8728448275862069,0.8814655172413793,0.8836206896551724,0.8879310344827587
rnn,20,128,3,2,15,32,max,adam,0.001,4.797513484954834,85.78%,0.8146551724137931,0.8254310344827587,0.8318965517241379,0.8383620689655172,0.8426724137931034,0.8448275862068966,0.8448275862068966,0.8469827586206896,0.8491379310344828,0.8491379310344828,0.8491379310344828,0.8491379310344828,0.8556034482758621,0.8577586206896551,0.8577586206896551
rnn,20,128,3,2,15,32,average,adam,0.001,4.75783371925354,88.15%,0.8556034482758621,0.8663793103448276,0.8663793103448276,0.8663793103448276,0.8663793103448276,0.8685344827586207,0.8685344827586207,0.8706896551724138,0.875,0.8771551724137931,0.8814655172413793,0.8814655172413793,0.8814655172413793,0.8814655172413793,0.8814655172413793
cnn,20,128,3,2,15,32,max,adam,0.001,5.100569725036621,84.48%,0.7995689655172413,0.7995689655172413,0.8103448275862069,0.8103448275862069,0.8146551724137931,0.8168103448275862,0.8211206896551724,0.8189655172413793,0.8211206896551724,0.8254310344827587,0.8318965517241379,0.8275862068965517,0.834051724137931,0.8383620689655172,0.8448275862068966
cnn,20,128,3,2,15,32,average,adam,0.001,4.784927606582642,89.22%,0.875,0.8793103448275862,0.8836206896551724,0.8879310344827587,0.8879310344827587,0.8922413793103449,0.8922413793103449,0.8922413793103449,0.8922413793103449,0.8922413793103449,0.8922413793103449,0.8922413793103449,0.8922413793103449,0.8922413793103449,0.8922413793103449
gated_cnn,20,128,3,2,15,32,max,adam,0.001,4.976930856704712,85.56%,0.8254310344827587,0.8275862068965517,0.8297413793103449,0.8297413793103449,0.834051724137931,0.8383620689655172,0.8383620689655172,0.8448275862068966,0.8491379310344828,0.8512931034482759,0.853448275862069,0.853448275862069,0.853448275862069,0.8556034482758621,0.8556034482758621
gated_cnn,20,128,3,2,15,32,average,adam,0.001,4.637113332748413,88.15%,0.8512931034482759,0.853448275862069,0.8577586206896551,0.8577586206896551,0.8620689655172413,0.8642241379310345,0.8663793103448276,0.8685344827586207,0.8706896551724138,0.8728448275862069,0.875,0.8793103448275862,0.8814655172413793,0.8836206896551724,0.8814655172413793
stack_gated_cnn,20,128,3,2,15,32,max,adam,0.001,4.987606763839722,88.15%,0.8383620689655172,0.8469827586206896,0.853448275862069,0.8556034482758621,0.8599137931034483,0.8642241379310345,0.8706896551724138,0.875,0.8728448275862069,0.8728448275862069,0.875,0.8793103448275862,0.8814655172413793,0.8793103448275862,0.8814655172413793
stack_gated_cnn,20,128,3,2,15,32,average,adam,0.001,4.648968696594238,88.36%,0.8491379310344828,0.8512931034482759,0.8577586206896551,0.8599137931034483,0.8642241379310345,0.8685344827586207,0.8685344827586207,0.8706896551724138,0.8685344827586207,0.8663793103448276,0.8685344827586207,0.8728448275862069,0.8728448275862069,0.8814655172413793,0.8836206896551724
rcnn,20,128,3,2,15,32,max,adam,0.001,4.945737600326538,86.42%,0.8448275862068966,0.8448275862068966,0.8448275862068966,0.8448275862068966,0.8448275862068966,0.8469827586206896,0.853448275862069,0.8599137931034483,0.8599137931034483,0.8577586206896551,0.8620689655172413,0.8642241379310345,0.8642241379310345,0.8685344827586207,0.8642241379310345
rcnn,20,128,3,2,15,32,average,adam,0.001,4.6932337284088135,87.50%,0.8491379310344828,0.8577586206896551,0.8599137931034483,0.8620689655172413,0.8642241379310345,0.8642241379310345,0.8663793103448276,0.8685344827586207,0.875,0.8771551724137931,0.8771551724137931,0.8771551724137931,0.875,0.875,0.875
bert,20,128,3,2,15,32,max,adam,0.001,8.251889705657959,87.07%,0.8556034482758621,0.8556034482758621,0.8577586206896551,0.8599137931034483,0.8577586206896551,0.8620689655172413,0.8620689655172413,0.8663793103448276,0.8663793103448276,0.8663793103448276,0.8685344827586207,0.8706896551724138,0.8706896551724138,0.8728448275862069,0.8706896551724138
bert,20,128,3,2,15,32,average,adam,0.001,4.958479166030884,89.22%,0.8448275862068966,0.8448275862068966,0.8491379310344828,0.8556034482758621,0.8599137931034483,0.8620689655172413,0.8642241379310345,0.875,0.875,0.8793103448275862,0.8836206896551724,0.8900862068965517,0.8922413793103449,0.8922413793103449,0.8922413793103449
bert_lstm,20,128,3,2,15,32,max,adam,0.001,5.322613954544067,86.42%,0.8448275862068966,0.8469827586206896,0.8491379310344828,0.8556034482758621,0.8556034482758621,0.8577586206896551,0.8577586206896551,0.8577586206896551,0.8599137931034483,0.8599137931034483,0.8599137931034483,0.8599137931034483,0.8599137931034483,0.8620689655172413,0.8642241379310345
bert_lstm,20,128,3,2,15,32,average,adam,0.001,5.047624588012695,87.93%,0.8663793103448276,0.8642241379310345,0.8620689655172413,0.8642241379310345,0.8642241379310345,0.8663793103448276,0.8663793103448276,0.8685344827586207,0.8685344827586207,0.8728448275862069,0.8728448275862069,0.875,0.8771551724137931,0.8793103448275862,0.8793103448275862
bert_cnn,20,768,3,2,15,32,max,adam,0.001,5.3648481369018555,84.70%,0.8211206896551724,0.8232758620689655,0.8232758620689655,0.8275862068965517,0.8297413793103449,0.8297413793103449,0.8318965517241379,0.8318965517241379,0.8318965517241379,0.834051724137931,0.8426724137931034,0.8448275862068966,0.8448275862068966,0.8448275862068966,0.8469827586206896
bert_cnn,20,768,3,2,15,32,average,adam,0.001,22.254379510879517,88.15%,0.8599137931034483,0.8642241379310345,0.8663793103448276,0.8706896551724138,0.8706896551724138,0.8728448275862069,0.8728448275862069,0.8771551724137931,0.8793103448275862,0.8793103448275862,0.8793103448275862,0.8771551724137931,0.8793103448275862,0.8793103448275862,0.8814655172413793
bert_mid_layer,20,768,3,2,15,32,max,adam,0.001,24.282118797302246,86.64%,0.8469827586206896,0.8512931034482759,0.8512931034482759,0.8556034482758621,0.8599137931034483,0.8599137931034483,0.8577586206896551,0.8577586206896551,0.8577586206896551,0.8620689655172413,0.8642241379310345,0.8642241379310345,0.8663793103448276,0.8663793103448276,0.8663793103448276
bert_mid_layer,20,768,3,2,15,32,average,adam,0.001,22.75262975692749,89.22%,0.8663793103448276,0.8685344827586207,0.875,0.8814655172413793,0.8836206896551724,0.8814655172413793,0.8836206896551724,0.8857758620689655,0.8857758620689655,0.8857758620689655,0.8900862068965517,0.8922413793103449,0.8922413793103449,0.8922413793103449,0.8922413793103449
